TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,label
0.2830188679245283,0.25806451612903225,0.34782608695652173,0.0,0.0,0.125,0.0,0.25,1.0
0.018867924528301886,0.03225806451612903,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,1.0
0.018867924528301886,0.03225806451612903,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,1.0
0.16981132075471697,0.12903225806451613,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,1.0
0.4716981132075472,0.3870967741935484,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,1.0
0.4339622641509434,0.3870967741935484,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,1.0
0.4339622641509434,0.3870967741935484,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,1.0
0.4716981132075472,0.4193548387096774,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,1.0
0.4716981132075472,0.4193548387096774,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,1.0
0.07547169811320754,0.06451612903225806,0.13043478260869565,0.0,0.0,0.125,0.0,0.25,1.0
0.3018867924528302,0.3225806451612903,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,1.0
0.09433962264150944,0.06451612903225806,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,1.0
0.24528301886792453,0.22580645161290322,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,1.0
0.018867924528301886,0.03225806451612903,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,1.0
0.20754716981132076,0.16129032258064516,0.30434782608695654,0.0,0.0,0.375,0.375,0.0,1.0
0.16981132075471697,0.16129032258064516,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,1.0
0.2830188679245283,0.25806451612903225,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,1.0
0.4716981132075472,0.4193548387096774,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,1.0
0.1320754716981132,0.12903225806451613,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,1.0
0.018867924528301886,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.25,1.0
0.09433962264150944,0.0967741935483871,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,1.0
0.22641509433962265,0.22580645161290322,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,1.0
0.20754716981132076,0.1935483870967742,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,1.0
0.3018867924528302,0.25806451612903225,0.3913043478260869,0.0,0.0,0.0,0.0,0.0,1.0
0.49056603773584906,0.45161290322580644,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,1.0
0.5471698113207547,0.4838709677419355,0.6521739130434783,0.0,0.0,0.0,0.0,0.0,1.0
0.16981132075471697,0.16129032258064516,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,1.0
0.07547169811320754,0.06451612903225806,0.13043478260869565,0.0,0.0,0.125,0.0,0.25,1.0
0.22641509433962265,0.25806451612903225,0.21739130434782608,0.0,0.0,0.25,0.25,0.0,1.0
0.09433962264150944,0.06451612903225806,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,1.0
0.20754716981132076,0.1935483870967742,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,1.0
0.07547169811320754,0.06451612903225806,0.13043478260869565,0.0,0.0,0.125,0.0,0.25,1.0
0.2641509433962264,0.22580645161290322,0.34782608695652173,0.0,0.0,0.5,0.5,0.0,1.0
0.07547169811320754,0.06451612903225806,0.13043478260869565,0.0,0.0,0.125,0.0,0.25,1.0
0.22641509433962265,0.22580645161290322,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,1.0
0.22641509433962265,0.1935483870967742,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,1.0
0.5283018867924528,0.4838709677419355,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,1.0
0.5283018867924528,0.4838709677419355,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,1.0
0.1509433962264151,0.12903225806451613,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,1.0
0.11320754716981132,0.12903225806451613,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,1.0
0.1509433962264151,0.12903225806451613,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,1.0
0.11320754716981132,0.0967741935483871,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1320754716981132,0.12903225806451613,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,1.0
0.11320754716981132,0.12903225806451613,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,1.0
0.018867924528301886,0.03225806451612903,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,1.0
0.018867924528301886,0.03225806451612903,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,1.0
0.33962264150943394,0.3548387096774194,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,1.0
0.5471698113207547,0.5161290322580645,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,1.0
0.5849056603773585,0.5161290322580645,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,1.0
0.5849056603773585,0.5161290322580645,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,1.0
0.4528301886792453,0.45161290322580644,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,1.0
0.11320754716981132,0.06451612903225806,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,1.0
0.20754716981132076,0.1935483870967742,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,1.0
0.3584905660377358,0.3548387096774194,0.3913043478260869,0.0,0.0,0.0,0.0,0.0,1.0
0.16981132075471697,0.16129032258064516,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,1.0
0.3773584905660377,0.3870967741935484,0.3913043478260869,0.0,0.0,0.0,0.0,0.0,1.0
0.1509433962264151,0.12903225806451613,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,1.0
0.09433962264150944,0.12903225806451613,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,1.0
0.33962264150943394,0.3225806451612903,0.3913043478260869,0.0,0.0,0.0,0.0,0.0,1.0
