TcpRtt_Greater,TcpRtt_Equal,TcpRtt_Smaller,class,label
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
0,1,0,HTTP,14
0,1,0,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
1,0,0,HTTP,14
0,0,1,HTTP,14
1,0,0,HTTP,14
0,1,0,HTTP,14
0,0,1,HTTP,14
