TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e r      ,Flgs_ e s      ,Cause_Start,Cause_Status,Dir_   ?>,State_A_A,State_A_PA,State_FA_,State_FA_A,State_PA_,State_PA_A,State_PA_PA,State_S_,State_S_SA,State__A,State__FA,State__PA,State__SA,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
66.0,0.0,66.0,0.0,0.0,0.0,66.0,102383.83854294856,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
180.0,114.0,66.0,0.0,0.0,114.0,66.0,64128.0,31872.0,0.000499,1721543808.0,0.000499,0.0,0.000499,0.000499,0.000499,62.0,64.0,0.153694,0.000509,0.153185,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2004.007935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
342.0,146.0,196.0,0.0,0.0,146.0,98.0,64128.0,31872.0,0.000993,1721543808.0,0.000993,0.0,0.000993,0.000993,0.000993,62.0,64.0,0.153694,0.000509,0.153185,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,789526.6875,0.0,789526.6875,0.0,0.0,2014.098755,0.0,1007.049377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
146.0,146.0,0.0,0.0,0.0,146.0,0.0,64128.0,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
178.0,0.0,178.0,0.0,0.0,0.0,178.0,102383.83854294856,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
486.0,0.0,486.0,0.0,0.0,0.0,162.0,102383.83854294856,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
180.0,180.0,0.0,0.0,0.0,90.0,0.0,64128.0,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
66.0,0.0,66.0,0.0,0.0,0.0,66.0,102383.83854294856,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
114.0,114.0,0.0,0.0,0.0,114.0,0.0,64128.0,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
66.0,0.0,66.0,0.0,0.0,0.0,66.0,102383.83854294856,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
